PAIR	R1	R2	WORDCLASS
παραφυλακή/ἐργασία	unrelated	distantly_related	n
παραφυλακή/συγκομιδή	unrelated	distantly_related	n
παραφυλακή/ποτισμός	unrelated	unrelated	n
παραφυλακή/χρεία	unrelated	unrelated	n
παραφυλακή/εἰσφορά	unrelated	distantly_related	n
παραφυλακή/σπορά	unrelated	unrelated	n
παραφυλακή/ὑπουργία	unrelated	distantly_related	n
παραφυλακή/ὅριον	unrelated	unrelated	n
παραφυλακή/συμπλήρωσις	unrelated	unrelated	n
παραφυλακή/συλλογή	unrelated	distantly_related	n
παραφυλακή/ἀνακομιδή	unrelated	distantly_related	n
παραφυλακή/διαρπαγή	same_domain	same_domain	n
παραφυλακή/χειρισμός	unrelated	distantly_related	n
παραφυλακή/χρηστήριον	unrelated	unrelated	n
ἱππόδρομος/θέατρον	synonym	related	n
ἱππόδρομος/βουλευτήριον	unrelated	distantly_related	n
ἱππόδρομος/δρόμος	synonym	related	n
ἱππόδρομος/ἡρῷον	unrelated	unrelated	n
ἱππόδρομος/ὅπλον	same_domain	unrelated	n
ἱππόδρομος/ἀγορά	unrelated	related	n
ἱππόδρομος/λόφος	same_domain	same_domain	n
ἱππόδρομος/ὁπλίτης	related	same_domain	n
ἱππόδρομος/τέμενος	unrelated	same_domain	n
ἱππόδρομος/ἀγών	same_domain	same_domain	n
ἱππόδρομος/αὐλών	distantly_related	distantly_related	n
ἱππόδρομος/στοά	unrelated	same_domain	n
ἱππόδρομος/ναός	unrelated	same_domain	n
ἱππόδρομος/ἀκρόπολις	unrelated	same_domain	n
ἱππόδρομος/ἱερόν	unrelated	same_domain	n
ἱππόδρομος/ὠθισμός	unrelated	unrelated	n
ἱππόδρομος/βαλανεῖον	unrelated	unrelated	n
ἱππόδρομος/γυμνάσιον	related	unrelated	n
ἱππόδρομος/τρίοδος	related	related	n
ἱππόδρομος/πεδίον	unrelated	distantly_related	n
ἱππόδρομος/τάφος	unrelated	unrelated	n
ἱππόδρομος/βασίλειον	unrelated	same_domain	n
ἱππόδρομος/νύξ	unrelated	unrelated	n
ἱππόδρομος/πύλη	distantly_related	distantly_related	n
ἱππόδρομος/αἰγιαλός	unrelated	distantly_related	n
ἱππόδρομος/θέα	same_domain	related	n
ἱππόδρομος/ἄστυ	unrelated	distantly_related	n
ἱππόδρομος/πρυτανεῖον	unrelated	same_domain	n
οἶστρος/λύσσα	synonym	related	n
οἶστρος/πόθος	related	related	n
οἶστρος/κόρη	unrelated	unrelated	n
οἶστρος/θυμός	related	related	n
οἶστρος/ἔρως	related	related	n
οἶστρος/λέκτρον	unrelated	unrelated	n
οἶστρος/ὑμέναιος	unrelated	unrelated	n
οἶστρος/φιλότης	unrelated	distantly_related	n
οἶστρος/φρήν	same_domain	related	n
οἶστρος/νύμφη	related	unrelated	n
οἶστρος/ζῆλος	synonym	related	n
οἶστρος/ἡνιοχεύς	unrelated	unrelated	n
οἶστρος/φόβος	related	related	n
οἶστρος/μανία	synonym	related	n
οἶστρος/ἄτη	synonym	related	n
οἶστρος/ἵμερος	related	related	n
οἶστρος/ὀργή	related	related	n
οἶστρος/ἔρις	unrelated	related	n
οἶστρος/μύωψ	synonym	synonym	n
οἶστρος/ὀμφή	unrelated	unrelated	n
οἶστρος/πένθος	related	distantly_related	n
οἶστρος/δέμας	unrelated	unrelated	n
οἶστρος/χόλος	related	related	n
οἶστρος/αὐδή	unrelated	unrelated	n
οἶστρος/ἄλγος	related	related	n
οἶστρος/ἱμάσθλη	same_domain	unrelated	n
οἶστρος/ἐπιθυμία	related	related	n
ῥαφή/ὀστέον	same_domain	distantly_related	n
ῥαφή/ὑμήν	same_domain	distantly_related	n
ῥαφή/ἀπόφυσις	distantly_related	related	n
ῥαφή/νεῦρον	distantly_related	distantly_related	n
ῥαφή/τρῆμα	same_domain	related	n
ῥαφή/κάταγμα	distantly_related	related	n
ῥαφή/μῦς	same_domain	distantly_related	n
ῥαφή/κρανίον	same_domain	related	n
ῥαφή/κοιλότης	same_domain	related	n
ῥαφή/διάρθρωσις	unrelated	distantly_related	n
ῥαφή/γραμμή	related	related	n
ῥαφή/μετακάρπιον	same_domain	distantly_related	n
ῥαφή/ἀπονεύρωσις	same_domain	distantly_related	n
ῥαφή/πέρας	distantly_related	distantly_related	n
ῥαφή/μόριον	same_domain	same_domain	n
ῥαφή/κνήμη	same_domain	same_domain	n
ῥαφή/ὠμοπλάτη	same_domain	same_domain	n
ῥαφή/σύνδεσμος	related	synonym	n
ῥαφή/τένων	distantly_related	distantly_related	n
ῥαφή/διάστασις	related	related	n
ῥαφή/πλευρά	same_domain	distantly_related	n
ῥαφή/ῥάχις	same_domain	distantly_related	n
ῥαφή/σύμφυσις	related	synonym	n
ῥαφή/ὅρος	unrelated	related	n
καλοκἀγαθία/ἀρετή	synonym	synonym	n
καλοκἀγαθία/ἀνδραγαθία	synonym	synonym	n
καλοκἀγαθία/εὐδαιμονία	same_domain	related	n
καλοκἀγαθία/εὐσέβεια	related	related	n
καλοκἀγαθία/φιλοτιμία	distantly_related	related	n
καλοκἀγαθία/πλοῦτος	unrelated	same_domain	n
καλοκἀγαθία/ἐλευθερία	same_domain	distantly_related	n
καλοκἀγαθία/σωφροσύνη	related	related	n
καλοκἀγαθία/ψυχή	same_domain	same_domain	n
καλοκἀγαθία/παιδεία	same_domain	distantly_related	n
καλοκἀγαθία/μετριότης	related	related	n
καλοκἀγαθία/σύνεσις	related	related	n
καλοκἀγαθία/ἐπιεικεία	synonym	related	n
καλοκἀγαθία/μεγαλοψυχία	synonym	synonym	n
καλοκἀγαθία/ἀνδρεία	related	synonym	n
καλοκἀγαθία/πραότης	related	related	n
καλοκἀγαθία/ἐγκράτεια	related	related	n
καλοκἀγαθία/ἐπιείκεια	synonym	related	n
καλοκἀγαθία/εὔνοια	related	related	n
καλοκἀγαθία/δικαιοσύνη	related	distantly_related	n
καλοκἀγαθία/εὐτεκνία	same_domain	distantly_related	n
καλοκἀγαθία/θεοσεβεία	related	related	n
πολεμιστής/ἀνήρ	distantly_related	distantly_related	n
πολεμιστής/αἰχμητής	related	related	n
πολεμιστής/ἅρμα	same_domain	same_domain	n
πολεμιστής/πόλεμος	same_domain	same_domain	n
πολεμιστής/χιλιάς	unrelated	unrelated	n
πολεμιστής/ἡμίθεος	distantly_related	same_domain	n
πολεμιστής/ἵππος	same_domain	same_domain	n
πολεμιστής/ὅπλον	same_domain	same_domain	n
πολεμιστής/βασιλεύς	unrelated	distantly_related	n
πολεμιστής/ῥομφαία	same_domain	same_domain	n
πολεμιστής/μαχητής	synonym	synonym	n
πολεμιστής/ἀκοντιστής	related	related	n
πολεμιστής/ἄρχων	related	distantly_related	n
πολεμιστής/τοξότης	related	related	n
πολεμιστής/ὄρχαμος	related	distantly_related	n
πολεμιστής/ὁπλίτης	synonym	related	n
πολεμιστής/κοίρανος	related	distantly_related	n
πολεμιστής/ἡνίοχος	related	related	n
πολεμιστής/πρεσβύτης	unrelated	same_domain	n
πολεμιστής/ὑβριστής	distantly_related	related	n
πολεμιστής/ἀροτήρ	unrelated	same_domain	n
πολεμιστής/ἀθλητής	related	related	n
πολεμιστής/ἄωτον	same_domain	unrelated	n
πολεμιστής/δυνάστης	distantly_related	distantly_related	n
πολεμιστής/ἀγωνιστής	related	synonym	n
πολεμιστής/θεραπευτής	unrelated	same_domain	n
πολεμιστής/μετανάστης	unrelated	same_domain	n
πολεμιστής/μῶνυξ	same_domain	unrelated	n
πολεμιστής/ποιμήν	related	same_domain	n
πολεμιστής/συνωρίς	same_domain	same_domain	n
θήκη/τάφος	synonym	synonym	n
θήκη/νεκρός	same_domain	distantly_related	n
θήκη/μνῆμα	synonym	distantly_related	n
θήκη/σορός	related	synonym	n
θήκη/λάρναξ	synonym	synonym	n
θήκη/ναός	same_domain	same_domain	n
θήκη/μνημεῖον	synonym	distantly_related	n
θήκη/σκεῦος	related	related	n
θήκη/ἀνάθημα	unrelated	distantly_related	n
θήκη/ἱερόν	same_domain	same_domain	n
θήκη/κιβώτιον	synonym	synonym	n
θήκη/ὅπλον	unrelated	distantly_related	n
θήκη/κίστη	synonym	synonym	n
θήκη/λείψανον	same_domain	distantly_related	n
θήκη/κλίνη	related	distantly_related	n
θήκη/κευθμών	related	related	n
θήκη/ταφή	synonym	synonym	n
θήκη/ἑστία	same_domain	unrelated	n
θήκη/τέμενος	same_domain	same_domain	n
θήκη/βωμός	synonym	distantly_related	n
θήκη/νῆσος	unrelated	unrelated	n
θήκη/βίβλος	unrelated	same_domain	n
ἑστίασις/δεῖπνον	related	related	n
ἑστίασις/εὐωχία	synonym	synonym	n
ἑστίασις/θυσία	related	related	n
ἑστίασις/φιλοφροσύνη	same_domain	same_domain	n
ἑστίασις/πομπή	distantly_related	distantly_related	n
ἑστίασις/πανήγυρις	related	distantly_related	n
ἑστίασις/ξένιον	synonym	same_domain	n
ἑστίασις/ἑορτή	synonym	synonym	n
ἑστίασις/πότος	related	synonym	n
ἑστίασις/συμπόσιον	related	synonym	n
ἑστίασις/θοίνη	synonym	related	n
ἑστίασις/θέα	distantly_related	same_domain	n
ἑστίασις/σύλλογος	distantly_related	related	n
ἑστίασις/ταφή	unrelated	distantly_related	n
ἑστίασις/σπουδή	unrelated	same_domain	n
ἑστίασις/τράπεζα	same_domain	same_domain	n
ἑστίασις/ἀγών	distantly_related	related	n
σκοπιά/ὄρος	related	related	n
σκοπιά/πρών	related	distantly_related	n
σκοπιά/λόφος	related	related	n
σκοπιά/πόντος	same_domain	distantly_related	n
σκοπιά/πέτρα	related	related	n
σκοπιά/χθών	same_domain	distantly_related	n
σκοπιά/γαῖα	same_domain	distantly_related	n
σκοπιά/χῶρος	same_domain	distantly_related	n
σκοπιά/κέλευθος	same_domain	distantly_related	n
σκοπιά/θήρ	unrelated	same_domain	n
σκοπιά/δένδρεον	unrelated	distantly_related	n
σκοπιά/πτολίεθρον	distantly_related	related	n
σκοπιά/ὄχθος	related	related	n
σκοπιά/δῶμα	unrelated	distantly_related	n
σκοπιά/ἄστυ	unrelated	distantly_related	n
σκοπιά/κορυφή	synonym	related	n
σκοπιά/περιωπή	synonym	synonym	n
σκοπιά/θίς	same_domain	related	n
σκοπιά/βουνός	related	related	n
σκοπιά/οὖδας	related	distantly_related	n
σκοπιά/κράς	synonym	related	n
σκοπιά/μυχός	distantly_related	distantly_related	n
σκοπιά/πεδίον	same_domain	distantly_related	n
σκοπιά/ἀκρώρεια	related	related	n
σκοπιά/αἰγιαλός	same_domain	distantly_related	n
σκοπιά/κολωνός	synonym	related	n
σκοπιά/ἠιών	same_domain	distantly_related	n
σκοπιά/λίμνη	same_domain	same_domain	n
σκοπιά/πύργος	synonym	related	n
πέδιλον/ταρσός	related	related	n
πέδιλον/θύρσος	distantly_related	unrelated	n
πέδιλον/παλάμη	unrelated	related	n
πέδιλον/χθών	unrelated	same_domain	n
πέδιλον/πούς	related	synonym	n
πέδιλον/γαῖα	unrelated	same_domain	n
πέδιλον/κάρηνον	unrelated	distantly_related	n
πέδιλον/εἷμα	related	related	n
πέδιλον/κνημίς	related	related	n
πέδιλον/δόμος	unrelated	same_domain	n
πέδιλον/πτέρυξ	unrelated	distantly_related	n
πέδιλον/τόξον	distantly_related	distantly_related	n
πέδιλον/ἀσπίς	distantly_related	distantly_related	n
πέδιλον/θυρεός	distantly_related	distantly_related	n
πέδιλον/χλαμύς	distantly_related	related	n
πέδιλον/πτερόν	unrelated	distantly_related	n
πέδιλον/φαρέτρα	distantly_related	distantly_related	n
πέδιλον/δόρυ	distantly_related	distantly_related	n
πέδιλον/κράνος	distantly_related	related	n
πέδιλον/λόγχη	distantly_related	distantly_related	n
πέδιλον/φᾶρος	distantly_related	related	n
πέδιλον/ὑπόδημα	synonym	synonym	n
πέδιλον/πῖλος	related	distantly_related	n
πέδιλον/πορφυρίς	distantly_related	related	n
πέδιλον/τεῦχος	distantly_related	related	n
πέδιλον/δοράτιον	distantly_related	distantly_related	n
πέδιλον/χιτωνίσκος	distantly_related	related	n
πέδιλον/ζώνη	distantly_related	related	n
πέδιλον/ἐνώτιον	distantly_related	related	n
πέδιλον/ἔθειρα	unrelated	distantly_related	n
πέδιλον/σκευή	related	related	n
πέδιλον/δίφρος	unrelated	same_domain	n
πέδιλον/ἱμάτιον	distantly_related	related	n
πέδιλον/χιτών	distantly_related	related	n
ἀκρόαμα/πύκτης	distantly_related	unrelated	n
ἀκρόαμα/μουσική	synonym	distantly_related	n
ἀκρόαμα/παιδιή	same_domain	same_domain	n
ἀκρόαμα/θέαμα	related	distantly_related	n
ἀκρόαμα/τραγῳδός	related	same_domain	n
ἀκρόαμα/ἄκουσμα	synonym	synonym	n
ἀκρόαμα/θέατρον	same_domain	same_domain	n
ἀκρόαμα/σκῶμμα	same_domain	same_domain	n
ἀκρόαμα/τέρψις	same_domain	distantly_related	n
ἀκρόαμα/κιθαρῳδός	synonym	same_domain	n
ἀκρόαμα/φιλοφροσύνη	same_domain	unrelated	n
ἀκρόαμα/θεατής	distantly_related	same_domain	n
ἀκρόαμα/κωμῳδός	related	same_domain	n
ἀκρόαμα/ἡδονή	same_domain	same_domain	n
ἀκρόαμα/πανήγυρις	same_domain	same_domain	n
ἀκρόαμα/μολπή	synonym	distantly_related	n
ἀκρόαμα/παρών	unrelated	unrelated	n
ἀκρόαμα/ᾠδή	synonym	related	n
ἀκρόαμα/φόρμιγξ	same_domain	same_domain	n
ἀκρόαμα/αὐλητής	synonym	same_domain	n
ἀκρόαμα/θαλία	same_domain	same_domain	n
ἀκρόαμα/εἰλαπίνη	same_domain	same_domain	n
ἀκρόαμα/ἀοιδή	synonym	related	n
ἀκρόαμα/ἄθροισμα	unrelated	same_domain	n
ἀκρόαμα/αὐλός	same_domain	same_domain	n
ἀκρόαμα/συμφωνία	synonym	same_domain	n
ἀκρόαμα/στῦψις	unrelated	unrelated	n
ἀκρόαμα/ἱπποδρομία	unrelated	unrelated	n
ἀκρόαμα/ὀφειλέτης	unrelated	unrelated	n
ἀκρόαμα/ψεῦσμα	unrelated	distantly_related	n
ἀκρόαμα/παιδοτρίβης	unrelated	unrelated	n
ἅρπαγμα/μῶμος	unrelated	distantly_related	n
ἅρπαγμα/βδέλυγμα	unrelated	distantly_related	n
ἅρπαγμα/ἀδικία	unrelated	distantly_related	n
ἅρπαγμα/κρῖμα	unrelated	unrelated	n
ἅρπαγμα/προσήλυτος	unrelated	same_domain	n
ἅρπαγμα/ἐλεημοσύνη	unrelated	same_domain	n
ἅρπαγμα/κενοδοξία	unrelated	distantly_related	n
ἅρπαγμα/ἀνομία	unrelated	distantly_related	n
ἅρπαγμα/πτωχός	unrelated	same_domain	n
ἅρπαγμα/πλοῦτος	unrelated	distantly_related	n
ἅρπαγμα/κέλης	unrelated	unrelated	n
ἅρπαγμα/ἀχαριστία	unrelated	distantly_related	n
ἅρπαγμα/βδελυρία	unrelated	distantly_related	n
ἅρπαγμα/γενετή	unrelated	unrelated	n
ἅρπαγμα/αἴλουρος	unrelated	same_domain	n
ἅρπαγμα/δοκεύς	unrelated	unrelated	n
ἅρπαγμα/ἀλλοτρίωσις	unrelated	related	n
ἅρπαγμα/ὑποτύπωσις	unrelated	unrelated	n
ἅρπαγμα/προδότης	unrelated	same_domain	n
ἅρπαγμα/ἐπιθυμητής	unrelated	same_domain	n
ἅρπαγμα/βλάβη	unrelated	related	n
ἅρπαγμα/εἰδωλολατρεία	unrelated	same_domain	n
ἅρπαγμα/προκάλυμμα	unrelated	same_domain	n
ἅρπαγμα/ἀπάντησις	unrelated	same_domain	n
ἅρπαγμα/διπλασιασμός	unrelated	unrelated	n
ἅρπαγμα/παρανάλωμα	unrelated	related	n
ἅρπαγμα/οἰκιστής	unrelated	unrelated	n
ἅρπαγμα/ὑποπόδιον	unrelated	unrelated	n
ἅρπαγμα/πρόβολος	same_domain	unrelated	n
ἅρπαγμα/βορά	synonym	distantly_related	n
ἅρπαγμα/καταφυγή	unrelated	same_domain	n
ἅρπαγμα/παραμύθιον	unrelated	unrelated	n
ἅρπαγμα/ἄκοιτις	unrelated	unrelated	n
ἅρπαγμα/συναγωνιστής	unrelated	unrelated	n
ἅρπαγμα/ἔκτεισις	unrelated	distantly_related	n
ἅρπαγμα/ματαιότης	unrelated	distantly_related	n
ἅρπαγμα/ὄφλημα	unrelated	distantly_related	n
ἅρπαγμα/δάνεισμα	unrelated	distantly_related	n
ἅρπαγμα/χλιδή	unrelated	same_domain	n
ἅρπαγμα/εὐχέρεια	unrelated	same_domain	n
ἅρπαγμα/ἀπληστία	unrelated	distantly_related	n
στρύχνον/χυλός	same_domain	distantly_related	n
στρύχνον/ὄξος	unrelated	distantly_related	n
στρύχνον/σμύρνα	distantly_related	related	n
στρύχνον/κυκλάμινος	related	related	n
στρύχνον/ἀνδράχνη	related	related	n
στρύχνον/ἀφέψημα	same_domain	distantly_related	n
στρύχνον/μέλι	unrelated	distantly_related	n
στρύχνον/στέαρ	unrelated	same_domain	n
στρύχνον/βούτυρον	related	same_domain	n
στρύχνον/ἀρνόγλωσσον	related	related	n
στρύχνον/μάραθρον	related	related	n
στρύχνον/κράμβη	related	related	n
στρύχνον/λύκιον	related	related	n
στρύχνον/τεῦτλον	related	related	n
στρύχνον/πήγανον	related	related	n
στρύχνον/γεντιανή	related	related	n
στρύχνον/ὀξύκρατον	unrelated	distantly_related	n
στρύχνον/καλαμίνθη	related	related	n
στρύχνον/ὑοσκύαμος	related	related	n
στρύχνον/γλυκύρριζα	related	distantly_related	n
στρύχνον/πτισάνης	unrelated	same_domain	n
στρύχνον/πολύγονον	related	unrelated	n
στρύχνον/ὄμφαξ	distantly_related	distantly_related	n
γάρος/οἶνος	related	distantly_related	n
γάρος/κνίδιον	same_domain	distantly_related	n
γάρος/κεράμιον	same_domain	same_domain	n
γάρος/ἔλαιον	related	related	n
γάρος/ὀρνίθιον	distantly_related	same_domain	n
γάρος/λάχανον	distantly_related	distantly_related	n
γάρος/ὄξος	related	related	n
γάρος/ἕψημα	related	distantly_related	n
γάρος/ἄνηθον	distantly_related	distantly_related	n
γάρος/ψωμίον	distantly_related	same_domain	n
γάρος/μύρον	distantly_related	synonym	n
γάρος/σίλφιον	related	same_domain	n
γάρος/μέλι	related	related	n
γάρος/ξέστης	same_domain	unrelated	n
γάρος/σίναπι	related	related	n
γάρος/λάγυνος	same_domain	same_domain	n
γάρος/ὀψάριον	related	related	n
γάρος/τυρός	distantly_related	related	n
γάρος/δίχωρον	same_domain	distantly_related	n
γάρος/ἴνος	unrelated	same_domain	n
πρόβασις/ἀριθμός	same_domain	related	n
πρόβασις/δυάς	same_domain	distantly_related	n
πρόβασις/τριάς	same_domain	distantly_related	n
πρόβασις/μονάς	same_domain	distantly_related	n
πρόβασις/ὀγδοάς	same_domain	distantly_related	n
πρόβασις/ἑξάς	same_domain	distantly_related	n
πρόβασις/πρόβατον	same_domain	synonym	n
πρόβασις/τετράς	same_domain	distantly_related	n
πρόβασις/πεντάς	same_domain	distantly_related	n
πρόβασις/πρόσθεσις	synonym	same_domain	n
πρόβασις/ἀνάστημα	related	same_domain	n
πρόβασις/ὀκτάεδρον	same_domain	unrelated	n
πρόβασις/δμώς	unrelated	unrelated	n
πρόβασις/ποσότης	same_domain	related	n
πρόβασις/ἑνάς	same_domain	related	n
πρόβασις/πολλαπλασιασμός	distantly_related	same_domain	n
πρόβασις/ἰδίωμα	unrelated	same_domain	n
πρόβασις/δωδεκατημόριον	same_domain	unrelated	n
πρόβασις/διάμετρος	same_domain	unrelated	n
πρόβασις/ἀναλογία	same_domain	same_domain	n
πρόβασις/προκοπή	synonym	unrelated	n
πρόβασις/ἀμφώδων	unrelated	unrelated	n
πρόβασις/ὄντα	unrelated	same_domain	n
πρόβασις/περίοδος	same_domain	unrelated	n
πρόβασις/μάνδρα	same_domain	same_domain	n
πρόβασις/οὖθαρ	same_domain	same_domain	n
πρόβασις/ἀπαρίθμησις	distantly_related	same_domain	n
πρόβασις/ἐπιγονή	synonym	same_domain	n
πρόβασις/διαρπαγή	unrelated	same_domain	n
πρόβασις/ἀποβολή	related	same_domain	n
πρόβασις/κολωνός	unrelated	unrelated	n
πρόβασις/ἐπιθυμητής	unrelated	unrelated	n
πρόβασις/ἀφαίρεσις	related	same_domain	n
πρόβασις/ἡμιτόνιον	same_domain	unrelated	n
πρόβασις/σύνθεσις	related	distantly_related	n
πρόβασις/κύβος	same_domain	unrelated	n
ἔλασις/στράτευμα	synonym	distantly_related	n
ἔλασις/πορεία	synonym	distantly_related	n
ἔλασις/ὁδοιπορία	related	distantly_related	n
ἔλασις/ἔφοδος	same_domain	distantly_related	n
ἔλασις/στρατιώτης	same_domain	same_domain	n
ἔλασις/τάχος	same_domain	same_domain	n
ἔλασις/στρατόπεδον	same_domain	same_domain	n
ἔλασις/δρόμος	related	distantly_related	n
ἔλασις/στρατιά	synonym	same_domain	n
ἔλασις/χώρα	unrelated	same_domain	n
ἔλασις/ἁρπαγή	related	related	n
ἔλασις/ἀγός	same_domain	same_domain	n
ἔλασις/ἄρχων	same_domain	same_domain	n
ἔλασις/προσβολή	distantly_related	distantly_related	n
ἔλασις/χρησμός	unrelated	unrelated	n
ἔλασις/ἀγέλη	same_domain	same_domain	n
ἔλασις/δικτάτωρ	unrelated	same_domain	n
ἔλασις/συμμαχία	same_domain	unrelated	n
ἔλασις/ἧσσα	same_domain	distantly_related	n
ἔλασις/ἔκπλοος	distantly_related	related	n
ἔλασις/ὁρμή	distantly_related	related	n
ἔλασις/ἐκστρατεία	synonym	related	n
ἔλασις/θάλψις	unrelated	unrelated	n
ἔλασις/μήνιμα	unrelated	unrelated	n
ἔλασις/βλεφαρίς	unrelated	unrelated	n
ἔλασις/δίωξις	distantly_related	related	n
ἔλασις/ἄπολις	same_domain	same_domain	n
ἔλασις/κάμψις	unrelated	distantly_related	n
ἔλασις/σεισμός	unrelated	distantly_related	n
ἔλασις/ἐκδρομή	related	synonym	n
ἔλασις/ἔλευσις	related	related	n
ἔλασις/κνησμός	unrelated	distantly_related	n
ἔλασις/συριγμός	unrelated	unrelated	n
ἔλασις/ἄφιξις	distantly_related	distantly_related	n
ἔλασις/ἐξαγωγή	synonym	related	n
ἔλασις/ἐκδίκησις	unrelated	distantly_related	n
ἔλασις/γέρρον	unrelated	unrelated	n
εὔπλοια/κυβερνήτης	same_domain	same_domain	n
εὔπλοια/εἰρεσία	same_domain	distantly_related	n
εὔπλοια/πλόος	related	related	n
εὔπλοια/εὐδία	related	distantly_related	n
εὔπλοια/πρῷρα	same_domain	same_domain	n
εὔπλοια/χειμών	same_domain	same_domain	n
εὔπλοια/πομπός	same_domain	same_domain	n
εὔπλοια/ὁλκάς	same_domain	same_domain	n
εὔπλοια/ναυαγία	related	distantly_related	n
εὔπλοια/ναῦς	same_domain	same_domain	n
εὔπλοια/ὁλοκληρία	unrelated	distantly_related	n
εὔπλοια/εὐνομία	same_domain	related	n
εὔπλοια/ἐπανόρθωσις	unrelated	distantly_related	n
εὔπλοια/αὐτάρκεια	unrelated	distantly_related	n
εὔπλοια/ἀποτροπή	unrelated	distantly_related	n
εὔπλοια/συνεργία	unrelated	distantly_related	n
εὔπλοια/εὐετηρία	distantly_related	distantly_related	n
εὔπλοια/νῖκος	unrelated	same_domain	n
εὔπλοια/ὑγίεια	unrelated	distantly_related	n
εὔπλοια/πορθμεῖον	same_domain	same_domain	n
εὔπλοια/νίκη	unrelated	distantly_related	n
εὔπλοια/βοήθεια	same_domain	distantly_related	n
εὔπλοια/εὐχή	same_domain	distantly_related	n
εὔπλοια/εὐθυμία	unrelated	related	n
εὔπλοια/ἀταραξία	distantly_related	related	n
εὔπλοια/ἀσφάλεια	distantly_related	related	n
εὔπλοια/ἐπίδειξις	unrelated	unrelated	n
εὔπλοια/ἐντυχία	unrelated	unrelated	n
εὔπλοια/εὐαισθησία	unrelated	same_domain	n
εὔπλοια/ἐπικουρία	same_domain	distantly_related	n
εὔπλοια/κατόρθωσις	distantly_related	distantly_related	n
εὔπλοια/ἐκστρατεία	distantly_related	distantly_related	n
εἰδωλολατρία/πορνεία	synonym	distantly_related	n
εἰδωλολατρία/οἰνοφλυγία	unrelated	distantly_related	n
εἰδωλολατρία/μοιχεία	unrelated	distantly_related	n
εἰδωλολατρία/ψευδομαρτυρία	distantly_related	distantly_related	n
εἰδωλολατρία/πλάνη	same_domain	related	n
εἰδωλολατρία/ἀσέλγεια	distantly_related	distantly_related	n
εἰδωλολατρία/δεισιδαιμονία	related	related	n
εἰδωλολατρία/ἀνομία	distantly_related	distantly_related	n
εἰδωλολατρία/ἀκαθαρσία	related	distantly_related	n
εἰδωλολατρία/μιαιφονία	unrelated	distantly_related	n
εἰδωλολατρία/παραφυάς	unrelated	same_domain	n
εἰδωλολατρία/αἵρεσις	same_domain	synonym	n
εἰδωλολατρία/βλασφημία	related	related	n
εἰδωλολατρία/ἐπιθυμία	unrelated	distantly_related	n
εἰδωλολατρία/αὐτόχειρ	unrelated	same_domain	n
εἰδωλολατρία/ἀκολασία	distantly_related	distantly_related	n
εἰδωλολατρία/ἱερόσυλος	same_domain	same_domain	n
εἰδωλολατρία/κενοδοξία	distantly_related	related	n
εἰδωλολατρία/χορευτής	same_domain	unrelated	n
εἰδωλολατρία/κακοτεχνία	distantly_related	unrelated	n
εἰδωλολατρία/κοσμοποιία	same_domain	same_domain	n
εἰδωλολατρία/συκοφαντία	distantly_related	distantly_related	n
εἰδωλολατρία/θρησκεία	related	related	n
εἰδωλολατρία/ἰσηγορία	unrelated	unrelated	n
εἰδωλολατρία/κῶμος	same_domain	same_domain	n
εἰδωλολατρία/κίναιδος	unrelated	unrelated	n
εἰδωλολατρία/ἀνθύπατος	unrelated	unrelated	n
εἰδωλολατρία/πταρμός	unrelated	unrelated	n
εἰδωλολατρία/φλυαρία	distantly_related	distantly_related	n
εἰδωλολατρία/γόης	same_domain	same_domain	n
ὀποβάλσαμον/νάρδος	related	related	n
ὀποβάλσαμον/γεντιανή	distantly_related	distantly_related	n
ὀποβάλσαμον/χαλβάνη	synonym	distantly_related	n
ὀποβάλσαμον/μαστίχη	related	related	n
ὀποβάλσαμον/σμύρνα	synonym	distantly_related	n
ὀποβάλσαμον/κρόκος	distantly_related	related	n
ὀποβάλσαμον/ἡμίλιτρον	unrelated	unrelated	n
ὀποβάλσαμον/δράξ	unrelated	same_domain	n
ὀποβάλσαμον/πέπερι	distantly_related	related	n
ὀποβάλσαμον/κιννάμωμον	distantly_related	related	n
ὀποβάλσαμον/μαλάβαθρον	distantly_related	distantly_related	n
ὀποβάλσαμον/ζιγγίβερις	distantly_related	distantly_related	n
ὀποβάλσαμον/γλυκύρριζα	related	related	n
ὀποβάλσαμον/λίβανος	synonym	distantly_related	n
ὀποβάλσαμον/ῥητίνη	synonym	related	n
ὀποβάλσαμον/λάδανον	synonym	related	n
ὀποβάλσαμον/εὐφόρβιον	synonym	related	n
ὀποβάλσαμον/ἀφρόνιτρον	distantly_related	related	n
ὀποβάλσαμον/πύρεθρον	distantly_related	distantly_related	n
ὀποβάλσαμον/ἄμωμον	distantly_related	related	n
ὀποβάλσαμον/ὄπιον	related	related	n
ὀποβάλσαμον/καρδάμωμον	distantly_related	distantly_related	n
ὀποβάλσαμον/κηκίς	synonym	distantly_related	n
ὀποβάλσαμον/κασσία	distantly_related	related	n
ἱμάσθλη/μάστιξ	synonym	synonym	n
ἱμάσθλη/παλάμη	same_domain	same_domain	n
ἱμάσθλη/ἐλατήρ	same_domain	same_domain	n
ἱμάσθλη/θέαινα	unrelated	unrelated	n
ἱμάσθλη/θύρσος	related	related	n
ἱμάσθλη/ἡνίον	synonym	related	n
ἱμάσθλη/κάρηνον	unrelated	same_domain	n
